Key,Council_District,Highest_Offense_Desc,Highest_NIBRS_UCR_Offense_Description,Report_Date,Location,Clearance_Status,Clearance_Date,District,Zip_Code_Crime,Census_Tract,X_Coordinate,Y_Coordinate,Zip_Code_Housing,Populationbelowpovertylevel,Medianhouseholdincome,Non-WhiteNon-HispanicorLatino,HispanicorLatinoofanyrace,Populationwithdisability,Unemployment,Largehouseholds(5+members),Homesaffordabletopeopleearninglessthan$50000,Rentalsaffordabletopeopleearninglessthan$25000,Rent-restrictedunits,HousingChoiceVoucherholders,Medianrent,Medianhomevalue,Percentageofrentalunitsinpoorcondition,Percentchangeinnumberofhousingunits2000-2012,Ownerunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageartist,Ownerunitsaffordabletoaverageartist,Rentalunitsaffordabletoaverageteacher,Ownerunitsaffordabletoaverageteacher,Rentalunitsaffordabletoaveragetechworker,Ownerunitsaffordabletoaveragetechworker,Changeinpercentageofpopulationbelowpoverty2000-2012,Changeinmedianrent2000-2012,Changeinmedianhomevalue2000-2012,Percentageofhomeswithin1/4-mioftransitstop,Averagemonthlytransportationcost,Percentageofhousingandtransportationcoststhatistransportation-related
20152100446,3,AGG ASSAULT,Agg Assault,29-Jul-15,1711 E OLTORF ST,N,30-Sep-15,H,78741,23.07,3115877,10057949,78741,40%,$30183,16%,62%,9%,9%,10%,76%,15%,21%,3%,$835,$120200,0.6%,18%,28%,11%,40%,39%,86%,76%,100%,93%,45%,28%,58%,80%,$668,43%
20152101760,4,AGG ASLT ENHANC STRANGL/SUFFOC,Agg Assault,29-Jul-15,9010 GALEWOOD DR,C,4-Aug-15,E,78758,18.2,3122209,10107272,78758,24%,$41792,22%,46%,9%,10%,10%,71%,11%,9%,2%,$898,$144200,0.8%,4%,13%,8%,32%,23%,83%,69%,99%,99%,128%,20%,49%,75%,$668,40%
20152101841,10,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,29-Jul-15,4159 STECK AVE,N,11-Aug-15,B,78759,17.059999999999999,3108685,10110188,78759,7%,$65672,18%,11%,8%,7%,2%,13%,3%,1%,0%,$962,$307800,0.2%,1%,2%,2%,18%,3%,75%,13%,99%,45%,60%,7%,60%,28%,$629,40%
20152101621,3,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,29-Jul-15,1705 FRONTIER VALLEY DR,N,19-Aug-15,H,78741,23.12,3129781,10055371,78741,40%,$30183,16%,62%,9%,9%,10%,76%,15%,21%,3%,$835,$120200,0.6%,18%,28%,11%,40%,39%,86%,76%,100%,93%,45%,28%,58%,80%,$668,43%
20152101321,3,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,29-Jul-15,2501 ANKEN DR,C,11-Sep-15,H,78741,23.16,3119407,10056791,78741,40%,$30183,16%,62%,9%,9%,10%,76%,15%,21%,3%,$835,$120200,0.6%,18%,28%,11%,40%,39%,86%,76%,100%,93%,45%,28%,58%,80%,$668,43%
20152091995,4,AGG ASSAULT,Agg Assault,29-Jul-15,9125 NORTH PLZ,N,13-Aug-15,E,78753,18.13,3131663,10102587,78753,26%,$39593,20%,60%,10%,9%,16%,78%,14%,17%,4%,$826,$134900,0.7%,19%,8%,11%,40%,24%,89%,75%,100%,98%,128%,26%,40%,59%,$708,44%
20152101852,1,THEFT FROM PERSON,Theft,29-Jul-15,5707 MANOR RD,N,4-Aug-15,I,78723,21.07,3133647,10084692,78723,29%,$41869,27%,46%,10%,10%,13%,33%,22%,20%,7%,$817,$176500,1.3%,13%,1%,18%,44%,4%,82%,28%,99%,83%,49%,28%,107%,84%,$668,43%
20152101395,3,THEFT BY SHOPLIFTING,Theft,29-Jul-15,2508 E RIVERSIDE DR,C,3-Aug-15,H,78741,23.04,3120959,10059177,78741,40%,$30183,16%,62%,9%,9%,10%,76%,15%,21%,3%,$835,$120200,0.6%,18%,28%,11%,40%,39%,86%,76%,100%,93%,45%,28%,58%,80%,$668,43%
20152100654,5,THEFT BY SHOPLIFTING,Theft,29-Jul-15,2101 S LAMAR BLVD,N,30-Jul-15,D,78704,13.04,3105799,10063072,78704,21%,$50248,7%,30%,9%,7%,3%,13%,12%,13%,1%,$940,$338200,0.4%,9%,0%,11%,26%,2%,76%,13%,99%,33%,33%,40%,126%,76%,$629,33%
20152100576,3,THEFT BY SHOPLIFTING,Theft,29-Jul-15,3909 S CONGRESS AVE,C,7-Aug-15,D,78704,23.08,3108442,10054362,78704,21%,$50248,7%,30%,9%,7%,3%,13%,12%,13%,1%,$940,$338200,0.4%,9%,0%,11%,26%,2%,76%,13%,99%,33%,33%,40%,126%,76%,$629,33%
